name,alias,iata,icao,country,active
Aerolineas Internacionales,,,LNT,Mexico,N
Aerolineas Marcos,,,MCO,Mexico,N
Aerolineas Medellin,,,AMD,Colombia,N
Aerolineas Mexicanas J S,,,LMX,Mexico,N
Aerolineas Nacionales Del Ecuador,,,EDA,Ecuador,N
Aerolineas Olve,,,OLV,Mexico,N
Aerolineas Pacifico Atlantico,,,APP,AEROPERLAS,N
Aerolineas Regionales,,,RCQ,Mexico,N
Aerolineas Sol,,,SOD,Mexico,N
Aerolineas Sosa,,,NSO,Honduras,N
Aerolineas Turisticas del Caribe,,,TTB,Mexico,N
Aerolineas Uruguayas,,,AUY,AUSA,N
Aerolineas Villaverde,,,VLR,Mexico,N
Aerolitoral,,5D,SLI,Mexico,Y
Aerologic,,,LDL,Russia,N
Aeromaan,,,ERM,Mexico,N
Aeromagar,,,MGS,Mexico,N
Aeromar,,BQ,ROM,Dominican Republic,N
Aeromarket Express,,,ARM,Spain,N
Aeromas,,,MSM,Uruguay,N
Aeromax,,,AXP,Spain,N
Aeromedica,,,DIC,Mexico,N
Aeromedicare Ltd.,,,AMQ,United Kingdom,N
Aeromega,,,OMG,United Kingdom,N
Aeromet Linea Aerea,,,MTE,Chile,N
Aeromet Servicios,,,ARS,Chile,N
Aeromexhaga,,,AXH,Mexico,N
Aeromexpress,,QO,MPX,Mexico,N
Aeromilenio,,,MNI,Mexico,N
Aeromist-Kharkiv,,HT,AHW,Ukraine,N
Aeromorelos,,,MRL,Mexico,N
Aeromover,,,OVE,Mexico,N
Aeromundo Ejecutivo,,,MUN,Mexico,N
AeroMéxico,,AM,AMX,Mexico,Y
Aeron International Airlines,,,AXI,AIR FREIGHTER,N
Aeronautica,,,GGL,Angola,N
Aeronautica Castellana,,,ECL,Spain,N
Aeronautica Le Esperanza,,,ESZ,Mexico,N
Aeronautica Militare,,,IAM,Italy,Y
Aeronautical Academy of Europe,,,EVR,Portugal,N
Aeronautical Radio Inc,,,XAA,United States,N
Aeronautical Radio of Thailand,,,AET,Thailand,N
Aeronaves Del Centro,,,AGA,Venezuela,N
Aeronaves Del Noreste,,,DRO,Mexico,N
Aeronaves Del Noroeste,,,ENW,Spain,N
Aeronaves TSM,,,VTM,Mexico,N
Aeronavigaciya,,,KTN,Ukraine,N
Aeronem Air Cargo,,,RNM,Ecuador,N
Aeroni,,,NID,Mexico,N
Aeronor,,,GCF,Spain,N
Aeronord-Grup,,,NRP,Moldova,N
Aeronorte,,,RTE,Portugal,Y
Aeropac,,,STK,United States,N
Aeropelican Air Services,,OT,PEL,Australia,Y
Aeroper,,PL,PLI,Peru,Y
Aeropiloto,,,AOP,Portugal,N
Aeropostal Cargo de Mexico,,,PCG,Mexico,N
Aeropro,,,APO,Canada,N
Aeropublicitaria De Angola,,,MOP,Angola,N
Aeropuelche,,,PUE,Chile,N
Aeropuma,,,APU,AEROPUMA,N
Aeroput,,,PUT,Serbia,N
Aeroputul International Marculesti,,,AMM,Moldova,N
Aeropycsa,,,PYC,Mexico,N
AeroRep,,P5,RPB,Colombia,Y
Aerosaab,,,SBH,Mexico,N
Aerosaba,,,ESB,Mexico,N
